# Внутренние текущие затраты на научные исследования и разработки

# Единицы измерения: тысяча рублей
# Периодичность и характеристика временного ряда: 
#  - Годовая
#    * Характеристика: значение показателя за год
#    * Представляется: 31 августа
#    * след. обновление: 31.08.2024
# Период действия: с 01.01.2006
# Длина временного ряда: 2002 - 2022
# Последнее обновление данных: 27.09.2023
# Признаки (перечень на базе классификаторов и справочников): ОКАТО
# Методологические пояснения: Внутренние текущие затраты на исследования и разработки охватывают: оплату труда, отчисления на единый социальный налог, затраты на приобретение оборудования за счет себестоимости работ, другие материальные затраты (стоимость приобретаемых со стороны сырья, материалов, комплектующих изделий, полуфабрикатов, топлива, энергии, работ и услуг производственного характера и др.), прочие текущие затраты.
# Источники и способ формирования показателя: * Сведения о выполнении научных исследований и разработок
# Ведомство (субъект статистического учета): Федеральная служба государственной статистики
# Подразделение: Управление статистики образования, науки и инноваций
# Размещение: Основные показатели деятельности организаций, выполняющих научные исследования и разработки 
# Комментарий: Сведения о выполнении научных исследований и разработок № 2-наука Статистические данные по Российской Федерации публикуются без учета статистической информации по Донецкой Народной Республике (ДНР), Луганской Народной Республике (ЛНР), Запорожской и Херсонской областям
# Ответственный: Бондаренко А.С. - (495) 568-00-42, доб. 99943 - bondarenkoas@rosstat.gov.ru


2006 277784757.3
2007 352917701.2
2008 410864983.6
2009 461006216.0
2010 489450798.7
2011 568386749.7
2012 655061743.4
2013 699948879.0
2014 795407850.6
2015 854288043.8
2016 873778705.8
2017 950257084.9
2018 960689437.2
2019 1060560377.0
2020 1091333468.1
2021 1193578508.5
2022 1322563915.0
