# Доля больных с выявленными злокачественными новообразованиями на  I-II ст.

# Единицы измерения: процент 
# Периодичность и характеристика временного ряда:
#  - Годовая
#    * Характеристика: значение показателя за год
#    * Представляется: 1 ноября
#    * след. обновление: 01.11.2025
# Период действия: с 01.01.2012 
# Длина временного ряда: 2012 - 2023 
# Последнее обновление данных: 22.05.2024 
# Признаки (перечень на базе классификаторов и справочников): ОКАТО
# Методологические пояснения: Рассчитывается как производное числа больных с выявленными злокачественными новообразованиями на I и II стадиях деленного на общее число больных с выявленными злокачественными новообразованиями в отчетном году, умноженное на 100 
# Источники и способ формирования показателя: Расчет
# Ведомство (субъект статистического учета): Министерство здравоохранения Российской Федерации 
# Подразделение: Департамент организации медицинской профилактики, медицинской помощи и развития здравоохранения 
# Размещение: Заболевания злокачественными новообразованиями. контингенты больных этими заболеваниями 
# Комментарий: Форма № 35 - сводный отчет "Сведения о больных злокачественными новообразованиями"
# Ответственный: Александрова Г.А. - (495) 645-62-60 доб. 1491 - AleksandrovaGA@rosminzdrav.ru

2012 50.5
2013 50.8
2014 52.0
2015 53.7
2016 54.7
2017 55.6
2018 56.4
2019 57.4
2020 56.3
2021 57.9
2022 59.3
2023 60.5
